Code client;Nom client;Jour livraison;Adresse liv cp;Adresse liv ville;Adresse livraison rue;Adresse livraison complète;longitude;latitude;numéro de tournée
C001;Client_1;JVL;69001;Lyon;Avenue Jean Médecin;Avenue Jean Médecin 69001 Lyon;6.863025;45.473222;884
C002;Client_2;S;06000;Nice;Avenue Jean Médecin;Avenue Jean Médecin 06000 Nice;4.814931;49.122963;635
C003;Client_3;SWL;06000;Nice;Rue de la Paix;Rue de la Paix 06000 Nice;1.657883;46.352344;187
C004;Client_4;DV;31000;Toulouse;Rue de la Gare;Rue de la Gare 31000 Toulouse;3.07778;51.037262;506
C005;Client_5;WD;75001;Paris;Boulevard Saint-Germain;Boulevard Saint-Germain 75001 Paris;2.471137;43.434453;250
C006;Client_6;VJM;13001;Marseille;Rue du Faubourg Saint-Honoré;Rue du Faubourg Saint-Honoré 13001 Marseille;1.476822;45.506082;113
C007;Client_7;LJW;31000;Toulouse;Quai du Port;Quai du Port 31000 Toulouse;1.559325;45.389128;767
C008;Client_8;SD;13001;Marseille;Quai du Port;Quai du Port 13001 Marseille;1.615164;43.735329;697
C009;Client_9;SV;67000;Strasbourg;Place du Capitole;Place du Capitole 67000 Strasbourg;4.255066;50.361444;636
C010;Client_10;J;59000;Lille;Rue de la Paix;Rue de la Paix 59000 Lille;2.911139;46.835678;234
C011;Client_11;VD;69001;Lyon;Rue de la République;Rue de la République 69001 Lyon;5.569186;44.919306;481
C012;Client_12;WLV;44000;Nantes;Place du Capitole;Place du Capitole 44000 Nantes;5.524022;44.772002;160
C013;Client_13;V;06000;Nice;Boulevard Saint-Germain;Boulevard Saint-Germain 06000 Nice;3.722961;48.692558;283
C014;Client_14;V;59000;Lille;Rue de la Gare;Rue de la Gare 59000 Lille;6.434485;45.078465;486
C015;Client_15;WJV;13001;Marseille;Rue du Vieux Marché;Rue du Vieux Marché 13001 Marseille;5.423385;46.715231;524
C016;Client_16;JWS;13001;Marseille;Rue de la Gare;Rue de la Gare 13001 Marseille;1.205476;49.803953;446
C017;Client_17;VL;13001;Marseille;Place du Capitole;Place du Capitole 13001 Marseille;5.354241;48.922072;476
C018;Client_18;W;33000;Bordeaux;Place du Capitole;Place du Capitole 33000 Bordeaux;1.117783;49.339033;362
C019;Client_19;VW;44000;Nantes;Rue du Faubourg Saint-Honoré;Rue du Faubourg Saint-Honoré 44000 Nantes;4.027276;44.461457;578
C020;Client_20;DJ;67000;Strasbourg;Quai du Port;Quai du Port 67000 Strasbourg;2.025383;51.316346;111
C021;Client_21;VD;75001;Paris;Rue du Vieux Marché;Rue du Vieux Marché 75001 Paris;1.271199;49.126963;155
C022;Client_22;L;44000;Nantes;Rue de la Paix;Rue de la Paix 44000 Nantes;7.011618;49.341245;123
C023;Client_23;S;31000;Toulouse;Place du Capitole;Place du Capitole 31000 Toulouse;6.366146;48.114537;292
